projet,id,secteur,porteur,enveloppe,votes
un-eclairage-pour-le-terrain-de-football,6976,Mont-de-Marsan-2,SAINT PERDON SPORTS FOOTBALL CLUB,60000,701
ma-maison-bleue-un-lieu-de-repit,6525,Mont-de-Marsan-2,ASSOCIATION LE CHANT DE L'HERBE,50000,684
des-percussions-pour-lapprentissage-de-la-musique,6784,Mont-de-Marsan-2,ASSOCIATION LOS CUMBANCHEROS,21330,674
les-ruchers-dici-et-dailleurs-1,6757,Mont-de-Marsan-2,D'ICI ET D'AILLEURS BASCONS-BENQUET,6300,442
des-instruments-de-musique-traditionnels,7028,Mont-de-Marsan-2,FEDERATION DES GROUPES FOLKLORIQUES LANDAIS,15900,344
fourgon-frigorifique-pour-produits-frais-et-surgeles,5861,Mont-de-Marsan-2,BANQUE ALIMENTAIRE DES LANDES,45000,274
creer-un-espace-public-numerique,6793,Mont-de-Marsan-2,ASSOCIATION CLUB MICRO SAINT PIERRE,20000,272
un-minibus-pour-des-sorties-solidaires,5882,Mont-de-Marsan-2,GEM LA VIE XL,40000,260
des-fauteuils-pour-le-sport-des-personnes-handicapees,6335,Mont-de-Marsan-2,COMITE HANDISPORT DES LANDES,15600,244
des-toilettes-seches-avec-recuperateur-eau-de-pluie,6760,Mont-de-Marsan-2,ASSOCIATION DEUX MAINS LA TERRE,3000,231
des-ecuries-accessibles-aux-personnes-handicapees,6455,Mont-de-Marsan-2,LES ÉCURIES D'ELLA ES,20000,231
amenager-une-ecole-de-tir-adapte,6944,Mont-de-Marsan-2,SASS BALL TRAP,50000,228
la-compost-cyclette-1,5946,Mont-de-Marsan-2,LES JARDINS RECONNAISSANTS,5000,218
numerisport-le-gymnase-connecte-2,6772,Mont-de-Marsan-2,USEP DES LANDES ET UFOLEP DES LANDES,30000,189
un-tableau-interactif-pour-les-jeunes-autistes,7064,Mont-de-Marsan-2,ADAPEI DES LANDES,10000,168
un-kit-manif-pour-les-associations-sportives,7187,Mont-de-Marsan-2,USEP DES LANDES ET UFOLEP DES LANDES,7000,151
plus-de-confort-au-jardin-dinspiration-medievale,6761,Mont-de-Marsan-2,ASSOCIATION DEUX MAINS LA TERRE,1000,140
application-mobile-le-coursayre-1,6807,Mont-de-Marsan-2,ASSOCIATION DES JEUNES COURSAYRES,30000,137
un-vehicule-pour-les-patients-de-lhopital-sainte-anne,5957,Mont-de-Marsan-2,SAINT-ANNE 2001,25000,132
tables-de-jeux-pour-les-jardins-publics-1,6236,Mont-de-Marsan-2,COMITÉ DÉPARTEMENTAL DU JEU D'ECHECS,1000,131
des-totems-pour-promouvoir-la-course-landaise,6809,Mont-de-Marsan-2,FEDERATION FRANCAISE DE COURSE LANDAISE,70000,131
le-petit-camion-des-colonies-de-vacances,7031,Mont-de-Marsan-2,COMITÉ DÉPARTEMENTAL JEUNESSE AU PLEIN AIR,40000,127
lassomobile-1,6865,Mont-de-Marsan-2,LIGUE DE L'ENSEIGNEMENT DES LANDES,80000,126
observer-le-ciel-quelque-soit-le-handicap,6770,Mont-de-Marsan-2,ASTROCLUB DU MARSAN,6000,125
promouvoir-la-pratique-des-echasses,6315,Mont-de-Marsan-2,ECHASSES SPECTACLES ANIMATION,2000,123
des-bancs-et-des-jeux-dans-le-jardin-du-musee,6364,Mont-de-Marsan-2,Maryte CHAMONARD,5000,116
du-materiel-de-cuisine-pour-un-noel-solidaire,6930,Mont-de-Marsan-2,AMAC - CAFE MUSIC,3000,111
laboratoire-de-langues-et-tableau-numeriques-mobiles-1,6858,Mont-de-Marsan-2,AMICALE LAIQUE MONTOISE,24800,107
de-jeunes-citoyens-engages-pour-la-memoire-1,7143,Mont-de-Marsan-2,MAISON DES LYCEENS DE CHARLES DESPIAU,1400,98
ateliers-numeriques-itinerants-pour-personnes-agees-1,6748,Mont-de-Marsan-2,UNIVERSITÉ POPULAIRE DES LANDES,7600,96
des-chariots-electriques-pour-le-foyer-le-marcade,7066,Mont-de-Marsan-2,ADAPEI DES LANDES,40000,92
un-chapiteau-pour-saint-medard-sports,6213,Mont-de-Marsan-2,ASSOCIATION SAINT-MEDARD SPORT ET LOISIRS,2000,92
un-minibus-pour-le-sport-adapte,6557,Mont-de-Marsan-2,COMITÉ DÉPARTEMENTAL DU SPORT ADAPTÉ,31000,91
moderniser-la-formation-des-acteurs-de-la-course-landaise,6808,Mont-de-Marsan-2,FEDERATION FRANCAISE DE COURSE LANDAISE,20000,89
du-materiel-de-projection-pour-actions-de-sensibilisation,6297,Mont-de-Marsan-2,CPRD DES LANDES,1100,89
du-materiel-audio-video-en-vue-de-concerts,6117,Mont-de-Marsan-2,LA TANIÈRE RECORDS,40000,87
des-triporteurs-pour-personnes-handicapees-ou-agees,7411,Mont-de-Marsan-2,ASCL LANDES,24000,84
du-materiel-danimation-pour-les-lotos,6097,Mont-de-Marsan-2,COMITE DES FETES,700,80
des-drapeaux-pour-se-souvenir,6630,Mont-de-Marsan-2,COMITÉ MONTOIS DU SOUVENIR FRANÇAIS,2800,56
du-materiel-informatique-pour-le-comite-de-randonnee,6764,Mont-de-Marsan-2,COMITÉ DÉPARTEMENTAL RANDONNÉE PÉDESTRE,2700,50
equipements-pour-laccueil-de-spectacles,6959,Mont-de-Marsan-2,FOYER MAJOURAOU,20000,49
un-vehicule-automatique-pour-la-formation-des-seniors,6774,Mont-de-Marsan-2,AUTOMOBILE CLUB DES LANDES,27000,33
